,"Shuffled Toehold k-mers","Scrambled Toehold Sequence"
Astrovirus,0.07557615,0.06846304
Cardiovirus,0.03877222,0.04686615
Chikungunya,0.06281066,0.04610363
Cosavirus,0.04194283,0.03581519
Coxsackie,-0.00732090,0.00736594
Dengue,0.11119215,0.06066145
Ebola,0.08150830,-0.00114190
Hantavirus,0.00115481,0.01713566
"Influenza: H1N1",-0.00495350,0.06439511
"Influenza: H3N2",-0.06499380,0.04577334
Lassa,0.18131609,0.05526181
Leishmania,0.12980927,-0.05436270
Marburg,0.07903164,-0.00407300
Papilloma,0.08603056,0.08541108
Poliovirus,0.09248868,0.08711618
Rabies,0.03180422,0.01776827
Smallpox,0.05039019,0.01865780
West-Nile,0.06447633,0.02117748
Yellow-Fever,0.07248850,0.13411636
Zika,0.11222788,0.03301903